Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-11+AC0-04,JACKPOT,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,JACKPOT,Milking,Morning,6.3,
2025+AC0-11+AC0-04,JACKPOT,Milking,Midday,3.6,
2025+AC0-11+AC0-04,JACKPOT,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,JACKPOT,Milking,Evening,,
2025+AC0-11+AC0-04,SHARON,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,SHARON,Milking,Morning,6.8,
2025+AC0-11+AC0-04,SHARON,Milking,Midday,4.8,
2025+AC0-11+AC0-04,SHARON,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,SHARON,Milking,Evening,,
2025+AC0-11+AC0-04,MAMBO,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,MAMBO,Milking,Morning,6.4,
2025+AC0-11+AC0-04,MAMBO,Milking,Midday,6.1,
2025+AC0-11+AC0-04,MAMBO,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,MAMBO,Milking,Evening,,
2025+AC0-11+AC0-04,ROCKY,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,ROCKY,Milking,Morning,5.6,
2025+AC0-11+AC0-04,ROCKY,Milking,Midday,3.6,
2025+AC0-11+AC0-04,ROCKY,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,ROCKY,Milking,Evening,,
2025+AC0-11+AC0-04,JOAN,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,JOAN,Milking,Morning,6.5,
2025+AC0-11+AC0-04,JOAN,Milking,Midday,5,
2025+AC0-11+AC0-04,JOAN,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,JOAN,Milking,Evening,,
2025+AC0-11+AC0-04,BROOK,Feeding,Morning,,3.8
2025+AC0-11+AC0-04,BROOK,Milking,Morning,4.8,
2025+AC0-11+AC0-04,BROOK,Milking,Midday,4.2,
2025+AC0-11+AC0-04,BROOK,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,BROOK,Milking,Evening,,
2025+AC0-11+AC0-04,SONIC,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,SONIC,Milking,Morning,8.4,
2025+AC0-11+AC0-04,SONIC,Milking,Midday,6,
2025+AC0-11+AC0-04,SONIC,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,SONIC,Milking,Evening,,
2025+AC0-11+AC0-04,RODEO,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,RODEO,Milking,Morning,6.2,
2025+AC0-11+AC0-04,RODEO,Milking,Midday,4,
2025+AC0-11+AC0-04,RODEO,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,RODEO,Milking,Evening,,
2025+AC0-11+AC0-04,CHROME,Feeding,Morning,,2.5
2025+AC0-11+AC0-04,CHROME,Milking,Morning,8.4,
2025+AC0-11+AC0-04,CHROME,Milking,Midday,7.9,
2025+AC0-11+AC0-04,CHROME,Feeding,Evening,,2.5
2025+AC0-11+AC0-04,CHROME,Milking,Evening,,
