Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-10+AC0-23,JACKPOT,Feeding,Morning,,2.5
2025+AC0-10+AC0-23,JACKPOT,Milking,Morning,5,
2025+AC0-10+AC0-23,JACKPOT,Milking,Midday,4,
2025+AC0-10+AC0-23,JACKPOT,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,JACKPOT,Milking,Evening,3.5,
2025+AC0-10+AC0-23,SHARON,Feeding,Morning,,2.5
2025+AC0-10+AC0-23,SHARON,Milking,Morning,6.7,
2025+AC0-10+AC0-23,SHARON,Milking,Midday,4.7,
2025+AC0-10+AC0-23,SHARON,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,SHARON,Milking,Evening,3.5,
2025+AC0-10+AC0-23,MAMBO,Feeding,Morning,,2.5
2025+AC0-10+AC0-23,MAMBO,Milking,Morning,9,
2025+AC0-10+AC0-23,MAMBO,Milking,Midday,6.1,
2025+AC0-10+AC0-23,MAMBO,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,MAMBO,Milking,Evening,4.8,
2025+AC0-10+AC0-23,ROCKY,Feeding,Morning,,2.5
2025+AC0-10+AC0-23,ROCKY,Milking,Morning,5.3,
2025+AC0-10+AC0-23,ROCKY,Milking,Midday,3.7,
2025+AC0-10+AC0-23,ROCKY,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,ROCKY,Milking,Evening,3,
2025+AC0-10+AC0-23,JOAN,Feeding,Morning,,2.5
2025+AC0-10+AC0-23,JOAN,Milking,Morning,7,
2025+AC0-10+AC0-23,JOAN,Milking,Midday,5.6,
2025+AC0-10+AC0-23,JOAN,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,JOAN,Milking,Evening,3.8,
2025+AC0-10+AC0-23,BROOK,Feeding,Morning,,3.8
2025+AC0-10+AC0-23,BROOK,Milking,Morning,4.8,
2025+AC0-10+AC0-23,BROOK,Milking,Midday,3.7,
2025+AC0-10+AC0-23,BROOK,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,BROOK,Milking,Evening,3,
2025+AC0-10+AC0-23,SONIC,Feeding,Morning,,2.5
2025+AC0-10+AC0-23,SONIC,Milking,Morning,7.5,
2025+AC0-10+AC0-23,SONIC,Milking,Midday,6.1,
2025+AC0-10+AC0-23,SONIC,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,SONIC,Milking,Evening,4.2,
2025+AC0-10+AC0-23,RODEO,Feeding,Morning,,3.8
2025+AC0-10+AC0-23,RODEO,Milking,Morning,2.8,
2025+AC0-10+AC0-23,RODEO,Milking,Midday,4,
2025+AC0-10+AC0-23,RODEO,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,RODEO,Milking,Evening,5.8,
2025+AC0-10+AC0-23,SASHA,Feeding,Morning,,3.8
2025+AC0-10+AC0-23,SASHA,Milking,Morning,4.7,
2025+AC0-10+AC0-23,SASHA,Milking,Midday,3.9,
2025+AC0-10+AC0-23,SASHA,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,SASHA,Milking,Evening,2.8,
2025+AC0-10+AC0-23,CHROME,Feeding,Morning,,2.5
2025+AC0-10+AC0-23,CHROME,Milking,Morning,7.8,
2025+AC0-10+AC0-23,CHROME,Milking,Midday,7.5,
2025+AC0-10+AC0-23,CHROME,Feeding,Evening,,2.5
2025+AC0-10+AC0-23,CHROME,Milking,Evening,6.2,
