Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg,Temperature+AF8-C,Notes
2025+AC0-10+AC0-21,JACKPOT,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-21,JACKPOT,Milking,Morning,5.4,,,
2025+AC0-10+AC0-21,JACKPOT,Milking,Midday,3,,,
2025+AC0-10+AC0-21,JACKPOT,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,JACKPOT,Milking,Evening,3.5,,,
2025+AC0-10+AC0-21,SHARON,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-21,SHARON,Milking,Morning,7,,,
2025+AC0-10+AC0-21,SHARON,Milking,Midday,5.7,,,
2025+AC0-10+AC0-21,SHARON,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,SHARON,Milking,Evening,4.3,,,
2025+AC0-10+AC0-21,MAMBO,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-21,MAMBO,Milking,Morning,9.3,,,
2025+AC0-10+AC0-21,MAMBO,Milking,Midday,6.3,,,
2025+AC0-10+AC0-21,MAMBO,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,MAMBO,Milking,Evening,4.8,,,
2025+AC0-10+AC0-21,ROCKY,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-21,ROCKY,Milking,Morning,6.4,,,
2025+AC0-10+AC0-21,ROCKY,Milking,Midday,2.8,,,
2025+AC0-10+AC0-21,ROCKY,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,ROCKY,Milking,Evening,4,,,
2025+AC0-10+AC0-21,JOAN,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-21,JOAN,Milking,Morning,6.3,,,
2025+AC0-10+AC0-21,JOAN,Milking,Midday,5.5,,,
2025+AC0-10+AC0-21,JOAN,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,JOAN,Milking,Evening,4.6,,,
2025+AC0-10+AC0-21,BROOK,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-21,BROOK,Milking,Morning,4,,,
2025+AC0-10+AC0-21,BROOK,Milking,Midday,3.7,,,
2025+AC0-10+AC0-21,BROOK,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,BROOK,Milking,Evening,3.7,,,
2025+AC0-10+AC0-21,SONIC,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-21,SONIC,Milking,Morning,6.7,,,
2025+AC0-10+AC0-21,SONIC,Milking,Midday,5.8,,,
2025+AC0-10+AC0-21,SONIC,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,SONIC,Milking,Evening,4,,,
2025+AC0-10+AC0-21,RODEO,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-21,RODEO,Milking,Morning,2.8,,,
2025+AC0-10+AC0-21,RODEO,Milking,Midday,3,,,
2025+AC0-10+AC0-21,RODEO,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,RODEO,Milking,Evening,3,,,
2025+AC0-10+AC0-21,SASHA,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-21,SASHA,Milking,Morning,6.3,,,
2025+AC0-10+AC0-21,SASHA,Milking,Midday,3.7,,,
2025+AC0-10+AC0-21,SASHA,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,SASHA,Milking,Evening,4.2,,,
2025+AC0-10+AC0-21,CHROME,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-21,CHROME,Milking,Morning,7,,,
2025+AC0-10+AC0-21,CHROME,Milking,Midday,7.2,,,
2025+AC0-10+AC0-21,CHROME,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-21,CHROME,Milking,Evening,7,,,
