Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-11+AC0-21,JACKPOT,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,JACKPOT,Milking,Morning,5.7,
2025+AC0-11+AC0-21,JACKPOT,Milking,Midday,4.5,
2025+AC0-11+AC0-21,JACKPOT,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,JACKPOT,Milking,Evening,4.2,
2025+AC0-11+AC0-21,SHARON,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,SHARON,Milking,Morning,7,
2025+AC0-11+AC0-21,SHARON,Milking,Midday,5,
2025+AC0-11+AC0-21,SHARON,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,SHARON,Milking,Evening,4,
2025+AC0-11+AC0-21,MAMBO,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,MAMBO,Milking,Morning,8.5,
2025+AC0-11+AC0-21,MAMBO,Milking,Midday,6.3,
2025+AC0-11+AC0-21,MAMBO,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,MAMBO,Milking,Evening,5,
2025+AC0-11+AC0-21,ROCKY,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,ROCKY,Milking,Morning,6.2,
2025+AC0-11+AC0-21,ROCKY,Milking,Midday,4.4,
2025+AC0-11+AC0-21,ROCKY,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,ROCKY,Milking,Evening,3.8,
2025+AC0-11+AC0-21,JOAN,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,JOAN,Milking,Morning,6.5,
2025+AC0-11+AC0-21,JOAN,Milking,Midday,5.1,
2025+AC0-11+AC0-21,JOAN,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,JOAN,Milking,Evening,4.1,
2025+AC0-11+AC0-21,BROOK,Feeding,Morning,,3.8
2025+AC0-11+AC0-21,BROOK,Milking,Morning,5.3,
2025+AC0-11+AC0-21,BROOK,Milking,Midday,4.5,
2025+AC0-11+AC0-21,BROOK,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,BROOK,Milking,Evening,4.3,
2025+AC0-11+AC0-21,SONIC,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,SONIC,Milking,Morning,8.1,
2025+AC0-11+AC0-21,SONIC,Milking,Midday,6.2,
2025+AC0-11+AC0-21,SONIC,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,SONIC,Milking,Evening,5.2,
2025+AC0-11+AC0-21,RODEO,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,RODEO,Milking,Morning,,
2025+AC0-11+AC0-21,RODEO,Milking,Midday,,
2025+AC0-11+AC0-21,RODEO,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,RODEO,Milking,Evening,,
2025+AC0-11+AC0-21,CHROME,Feeding,Morning,,2.5
2025+AC0-11+AC0-21,CHROME,Milking,Morning,9.1,
2025+AC0-11+AC0-21,CHROME,Milking,Midday,8.2,
2025+AC0-11+AC0-21,CHROME,Feeding,Evening,,2.5
2025+AC0-11+AC0-21,CHROME,Milking,Evening,6,
