Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-10+AC0-27,JACKPOT,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,JACKPOT,Milking,Morning,6.2,
2025+AC0-10+AC0-27,JACKPOT,Milking,Midday,4.6,
2025+AC0-10+AC0-27,JACKPOT,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,JACKPOT,Milking,Evening,3,
2025+AC0-10+AC0-27,SHARON,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,SHARON,Milking,Morning,6.4,
2025+AC0-10+AC0-27,SHARON,Milking,Midday,5.1,
2025+AC0-10+AC0-27,SHARON,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,SHARON,Milking,Evening,3.4,
2025+AC0-10+AC0-27,MAMBO,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,MAMBO,Milking,Morning,9,
2025+AC0-10+AC0-27,MAMBO,Milking,Midday,6.6,
2025+AC0-10+AC0-27,MAMBO,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,MAMBO,Milking,Evening,5.2,
2025+AC0-10+AC0-27,ROCKY,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,ROCKY,Milking,Morning,5.8,
2025+AC0-10+AC0-27,ROCKY,Milking,Midday,3.6,
2025+AC0-10+AC0-27,ROCKY,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,ROCKY,Milking,Evening,3.1,
2025+AC0-10+AC0-27,JOAN,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,JOAN,Milking,Morning,6,
2025+AC0-10+AC0-27,JOAN,Milking,Midday,5.6,
2025+AC0-10+AC0-27,JOAN,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,JOAN,Milking,Evening,3.5,
2025+AC0-10+AC0-27,BROOK,Feeding,Morning,,3.8
2025+AC0-10+AC0-27,BROOK,Milking,Morning,4,
2025+AC0-10+AC0-27,BROOK,Milking,Midday,3.7,
2025+AC0-10+AC0-27,BROOK,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,BROOK,Milking,Evening,3,
2025+AC0-10+AC0-27,SONIC,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,SONIC,Milking,Morning,7.1,
2025+AC0-10+AC0-27,SONIC,Milking,Midday,6.2,
2025+AC0-10+AC0-27,SONIC,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,SONIC,Milking,Evening,4.5,
2025+AC0-10+AC0-27,RODEO,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,RODEO,Milking,Morning,3,
2025+AC0-10+AC0-27,RODEO,Milking,Midday,3.5,
2025+AC0-10+AC0-27,RODEO,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,RODEO,Milking,Evening,3.5,
2025+AC0-10+AC0-27,CHROME,Feeding,Morning,,2.5
2025+AC0-10+AC0-27,CHROME,Milking,Morning,7.8,
2025+AC0-10+AC0-27,CHROME,Milking,Midday,8,
2025+AC0-10+AC0-27,CHROME,Feeding,Evening,,2.5
2025+AC0-10+AC0-27,CHROME,Milking,Evening,6.5,
