Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-10+AC0-26,JACKPOT,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,JACKPOT,Milking,Morning,6.2,
2025+AC0-10+AC0-26,JACKPOT,Milking,Midday,4.8,
2025+AC0-10+AC0-26,JACKPOT,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,JACKPOT,Milking,Evening,4.1,
2025+AC0-10+AC0-26,SHARON,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,SHARON,Milking,Morning,6.7,
2025+AC0-10+AC0-26,SHARON,Milking,Midday,5.3,
2025+AC0-10+AC0-26,SHARON,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,SHARON,Milking,Evening,3.8,
2025+AC0-10+AC0-26,MAMBO,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,MAMBO,Milking,Morning,9.8,
2025+AC0-10+AC0-26,MAMBO,Milking,Midday,6.4,
2025+AC0-10+AC0-26,MAMBO,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,MAMBO,Milking,Evening,5,
2025+AC0-10+AC0-26,ROCKY,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,ROCKY,Milking,Morning,6,
2025+AC0-10+AC0-26,ROCKY,Milking,Midday,3.8,
2025+AC0-10+AC0-26,ROCKY,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,ROCKY,Milking,Evening,3.5,
2025+AC0-10+AC0-26,JOAN,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,JOAN,Milking,Morning,6.8,
2025+AC0-10+AC0-26,JOAN,Milking,Midday,6,
2025+AC0-10+AC0-26,JOAN,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,JOAN,Milking,Evening,4.5,
2025+AC0-10+AC0-26,BROOK,Feeding,Morning,,3.8
2025+AC0-10+AC0-26,BROOK,Milking,Morning,4.1,
2025+AC0-10+AC0-26,BROOK,Milking,Midday,3.8,
2025+AC0-10+AC0-26,BROOK,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,BROOK,Milking,Evening,3.6,
2025+AC0-10+AC0-26,SONIC,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,SONIC,Milking,Morning,8.1,
2025+AC0-10+AC0-26,SONIC,Milking,Midday,7.3,
2025+AC0-10+AC0-26,SONIC,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,SONIC,Milking,Evening,4.2,
2025+AC0-10+AC0-26,RODEO,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,RODEO,Milking,Morning,3.7,
2025+AC0-10+AC0-26,RODEO,Milking,Midday,4.5,
2025+AC0-10+AC0-26,RODEO,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,RODEO,Milking,Evening,4.5,
2025+AC0-10+AC0-26,CHROME,Feeding,Morning,,2.5
2025+AC0-10+AC0-26,CHROME,Milking,Morning,9,
2025+AC0-10+AC0-26,CHROME,Milking,Midday,8,
2025+AC0-10+AC0-26,CHROME,Feeding,Evening,,2.5
2025+AC0-10+AC0-26,CHROME,Milking,Evening,7.5,
