Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-10+AC0-25,JACKPOT,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,JACKPOT,Milking,Morning,6.5,
2025+AC0-10+AC0-25,JACKPOT,Milking,Midday,4.1,
2025+AC0-10+AC0-25,JACKPOT,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,JACKPOT,Milking,Evening,4,
2025+AC0-10+AC0-25,SHARON,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,SHARON,Milking,Morning,6.7,
2025+AC0-10+AC0-25,SHARON,Milking,Midday,5.5,
2025+AC0-10+AC0-25,SHARON,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,SHARON,Milking,Evening,3.9,
2025+AC0-10+AC0-25,MAMBO,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,MAMBO,Milking,Morning,9.1,
2025+AC0-10+AC0-25,MAMBO,Milking,Midday,6.5,
2025+AC0-10+AC0-25,MAMBO,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,MAMBO,Milking,Evening,5.3,
2025+AC0-10+AC0-25,ROCKY,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,ROCKY,Milking,Morning,6.3,
2025+AC0-10+AC0-25,ROCKY,Milking,Midday,3.6,
2025+AC0-10+AC0-25,ROCKY,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,ROCKY,Milking,Evening,3.5,
2025+AC0-10+AC0-25,JOAN,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,JOAN,Milking,Morning,7.3,
2025+AC0-10+AC0-25,JOAN,Milking,Midday,5.1,
2025+AC0-10+AC0-25,JOAN,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,JOAN,Milking,Evening,4.6,
2025+AC0-10+AC0-25,BROOK,Feeding,Morning,,3.8
2025+AC0-10+AC0-25,BROOK,Milking,Morning,4.2,
2025+AC0-10+AC0-25,BROOK,Milking,Midday,4,
2025+AC0-10+AC0-25,BROOK,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,BROOK,Milking,Evening,3.6,
2025+AC0-10+AC0-25,SONIC,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,SONIC,Milking,Morning,7.3,
2025+AC0-10+AC0-25,SONIC,Milking,Midday,5.7,
2025+AC0-10+AC0-25,SONIC,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,SONIC,Milking,Evening,5.4,
2025+AC0-10+AC0-25,RODEO,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,RODEO,Milking,Morning,3.7,
2025+AC0-10+AC0-25,RODEO,Milking,Midday,4,
2025+AC0-10+AC0-25,RODEO,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,RODEO,Milking,Evening,4.3,
2025+AC0-10+AC0-25,CHROME,Feeding,Morning,,2.5
2025+AC0-10+AC0-25,CHROME,Milking,Morning,8.2,
2025+AC0-10+AC0-25,CHROME,Milking,Midday,7.8,
2025+AC0-10+AC0-25,CHROME,Feeding,Evening,,2.5
2025+AC0-10+AC0-25,CHROME,Milking,Evening,7.6,
