Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg,Temperature+AF8-C,Notes
2025+AC0-10+AC0-20,JACKPOT,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-20,JACKPOT,Milking,Morning,4.8,,,
2025+AC0-10+AC0-20,JACKPOT,Milking,Midday,2.8,,,
2025+AC0-10+AC0-20,JACKPOT,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,JACKPOT,Milking,Evening,2.5,,,
2025+AC0-10+AC0-20,SHARON,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-20,SHARON,Milking,Morning,7.5,,,
2025+AC0-10+AC0-20,SHARON,Milking,Midday,6,,,
2025+AC0-10+AC0-20,SHARON,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,SHARON,Milking,Evening,4.3,,,
2025+AC0-10+AC0-20,MAMBO,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-20,MAMBO,Milking,Morning,9.3,,,
2025+AC0-10+AC0-20,MAMBO,Milking,Midday,5.9,,,
2025+AC0-10+AC0-20,MAMBO,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,MAMBO,Milking,Evening,5.3,,,
2025+AC0-10+AC0-20,ROCKY,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-20,ROCKY,Milking,Morning,5.8,,,
2025+AC0-10+AC0-20,ROCKY,Milking,Midday,3.5,,,
2025+AC0-10+AC0-20,ROCKY,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,ROCKY,Milking,Evening,4,,,
2025+AC0-10+AC0-20,JOAN,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-20,JOAN,Milking,Morning,6,,,
2025+AC0-10+AC0-20,JOAN,Milking,Midday,5.2,,,
2025+AC0-10+AC0-20,JOAN,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,JOAN,Milking,Evening,4.2,,,
2025+AC0-10+AC0-20,BROOK,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-20,BROOK,Milking,Morning,4,,,
2025+AC0-10+AC0-20,BROOK,Milking,Midday,3.7,,,
2025+AC0-10+AC0-20,BROOK,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,BROOK,Milking,Evening,3.5,,,
2025+AC0-10+AC0-20,SONIC,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-20,SONIC,Milking,Morning,7.5,,,
2025+AC0-10+AC0-20,SONIC,Milking,Midday,5.8,,,
2025+AC0-10+AC0-20,SONIC,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,SONIC,Milking,Evening,4.2,,,
2025+AC0-10+AC0-20,RODEO,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-20,RODEO,Milking,Morning,2.4,,,
2025+AC0-10+AC0-20,RODEO,Milking,Midday,3.7,,,
2025+AC0-10+AC0-20,RODEO,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,RODEO,Milking,Evening,3.7,,,
2025+AC0-10+AC0-20,SASHA,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-20,SASHA,Milking,Morning,4,,,
2025+AC0-10+AC0-20,SASHA,Milking,Midday,4.3,,,
2025+AC0-10+AC0-20,SASHA,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,SASHA,Milking,Evening,2,,,
2025+AC0-10+AC0-20,CHROME,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-20,CHROME,Milking,Morning,7.2,,,
2025+AC0-10+AC0-20,CHROME,Milking,Midday,7.5,,,
2025+AC0-10+AC0-20,CHROME,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-20,CHROME,Milking,Evening,6.2,,,
